,idboard,board,card,cardUrl,checklist,item1,i1_status,i1_user,i1_date,item2,i2_status,i2_user,i2_date,item3,i3_status,i3_user,i3_date,item4,i4_status,i4_user,i4_date,item5,i5_status,i5_user,i5_date,i1_data,i2_data,i3_data,medicao,equipe,card2,local,macro,resto,pacote,code,complete
0,6319db41ed1b940239cb3227,2022 RNI PACATUBA,T00 P00 C00,https://trello.com/c/W4lcrkAX,E04 Externa - Lateral Acabamento Texturizado,Liberado,incomplete,,,Iniciado,incomplete,,,Finalizado,incomplete,,,Entregue,incomplete,,,Equipe,incomplete,,,,,,,,L0000 | T00 P00 C00,L0000,T00,P00 C00,P08,L0000P08,0
1,6319db41ed1b940239cb3227,2022 RNI PACATUBA,T00 P00 C00,https://trello.com/c/W4lcrkAX,E01 Externa - Emassamento Texturizado,Liberado,incomplete,,,Iniciado,incomplete,,,Finalizado,incomplete,,,Entregue,incomplete,,,Equipe,incomplete,,,,,,,,L0000 | T00 P00 C00,L0000,T00,P00 C00,P05,L0000P05,0
2,6319db41ed1b940239cb3227,2022 RNI PACATUBA,T00 P00 C00,https://trello.com/c/W4lcrkAX,E02 Externa - Acabamento Textura Rolada,Liberado,incomplete,,,Iniciado,incomplete,,,Finalizado,incomplete,,,Entregue,incomplete,,,Equipe,incomplete,,,,,,,,L0000 | T00 P00 C00,L0000,T00,P00 C00,P06,L0000P06,0
3,6319db41ed1b940239cb3227,2022 RNI PACATUBA,T00 P00 C00,https://trello.com/c/W4lcrkAX,E03 Externa - Lateral Emassamento Texturizado,Liberado,incomplete,,,Iniciado,incomplete,,,Finalizado,incomplete,,,Entregue,incomplete,,,Equipe,incomplete,,,,,,,,L0000 | T00 P00 C00,L0000,T00,P00 C00,P07,L0000P07,0
4,6319db41ed1b940239cb3227,2022 RNI PACATUBA,T00 P00 C00,https://trello.com/c/W4lcrkAX,E02 Interna - Selador + Emassamento,Liberado,incomplete,,,Iniciado,incomplete,,,Finalizado,incomplete,,,Entregue,incomplete,,,Equipe,incomplete,,,,,,,,L0000 | T00 P00 C00,L0000,T00,P00 C00,P02,L0000P02,0
5,6319db41ed1b940239cb3227,2022 RNI PACATUBA,T00 P00 C00,https://trello.com/c/W4lcrkAX,E03 Interna - Emassamento + Pintura Acrílica,Liberado,incomplete,,,Iniciado,incomplete,,,Finalizado,incomplete,,,Entregue,incomplete,,,Equipe,incomplete,,,,,,,,L0000 | T00 P00 C00,L0000,T00,P00 C00,P03,L0000P03,0
6,6319db41ed1b940239cb3227,2022 RNI PACATUBA,T00 P00 C00,https://trello.com/c/W4lcrkAX,E01 Interna - Tratamento,Liberado,incomplete,,,Iniciado,incomplete,,,Finalizado,incomplete,,,Entregue,incomplete,,,Equipe,incomplete,,,,,,,,L0000 | T00 P00 C00,L0000,T00,P00 C00,P01,L0000P01,0
7,6319db41ed1b940239cb3227,2022 RNI PACATUBA,T00 P00 C00,https://trello.com/c/W4lcrkAX,E04 Interna - Revisão de Entrega,Liberado,incomplete,,,Iniciado,incomplete,,,Finalizado,incomplete,,,Entregue,incomplete,,,Equipe,incomplete,,,,,,,,L0000 | T00 P00 C00,L0000,T00,P00 C00,P04,L0000P04,0
8,6319db41ed1b940239cb3227,2022 RNI PACATUBA,Q01 Casa001,https://trello.com/c/bQm8Uz8S,E01 Interna - Tratamento,Liberado,complete,,,Iniciado,complete,borges188,2022-10-13T13:37:53.120Z,Finalizado,complete,borges188,2022-10-13T13:38:21.501Z,Entregue,complete,borges188,2022-10-27T14:07:44.885Z,Equipe,complete,borges188,2022-10-27T14:07:44.885Z,03/10/22,11/10/22,11/10/22,M1,EQ1,L0001 | Q01 Casa001,L0001,Q01,Casa001,P01,L0001P01,4
9,6319db41ed1b940239cb3227,2022 RNI PACATUBA,Q01 Casa001,https://trello.com/c/bQm8Uz8S,E02 Interna - Selador + Emassamento,Liberado,complete,davidbastospombo,2022-10-13T11:52:26.917Z,Iniciado,complete,davidbastospombo,2022-10-13T11:52:28.123Z,Finalizado,complete,davidbastospombo,2022-10-13T11:52:35.733Z,Entregue,complete,borges188,2022-10-27T14:07:47.253Z,Equipe,complete,borges188,2022-10-27T14:07:47.253Z,,11/10/2022,14/10/2022,M1,EQ4,L0001 | Q01 Casa001,L0001,Q01,Casa001,P02,L0001P02,4
10,6319db41ed1b940239cb3227,2022 RNI PACATUBA,Q01 Casa001,https://trello.com/c/bQm8Uz8S,E03 Interna - Emassamento + Pintura Acrílica,Liberado,complete,josebraz14,2023-01-12T11:51:13.421Z,Iniciado,complete,josebraz14,2023-01-12T11:51:34.326Z,Finalizado,complete,josebraz14,2023-01-12T11:52:16.790Z,Entregue,complete,borges188,2023-01-12T11:54:39.830Z,Equipe,complete,borges188,2023-01-12T11:54:39.830Z,,02/01/2023,09/012023,M4,EQ13,L0001 | Q01 Casa001,L0001,Q01,Casa001,P03,L0001P03,4
11,6319db41ed1b940239cb3227,2022 RNI PACATUBA,Q01 Casa001,https://trello.com/c/bQm8Uz8S,E04 Interna - Revisão de Entrega,Liberado,complete,josebraz14,2023-08-17T13:27:54.848Z,Iniciado,complete,josebraz14,2023-08-17T13:28:10.872Z,Finalizado,complete,josebraz14,2023-08-17T13:28:20.739Z,Entregue,incomplete,,,Equipe,complete,,,,07/08/2023,08/08/2023,M11,EQ64,L0001 | Q01 Casa001,L0001,Q01,Casa001,P04,L0001P04,3
